Date,Time,Lat,Lon,Wind (mph),Wind (m/s),Pressure (mb),Storm Type
8/25/17,6:00:00 AM,25.6,-95.1,104,46.49083594,966,Category 2 Hurricane
8/25/17,9:00:00 AM,25.935,-95.465,106,47.38489048,957,Category 2 Hurricane
8/25/17,12:00:00 PM,26.3,-95.8,109,48.72597228,949,Category 2 Hurricane
8/25/17,3:00:00 PM,26.7,-96.065,115,51.4081359,946,Category 3 Major Hurricane
8/25/17,6:00:00 PM,27.1,-96.3,121,54.09029951,943,Category 3 Major Hurricane
8/25/17,9:00:00 PM,27.488,-96.581,127,56.77246312,942,Category 3 Major Hurricane
8/26/17,12:00:00 AM,27.8,-96.8,132,59.00759946,941,Category 4 Major Hurricane
8/26/17,3:00:00 AM,28,-96.9,132,59.00759946,937,Category 4 Major Hurricane
8/26/17,6:00:00 AM,28.2,-97.1,121,54.09029951,948,Category 3 Major Hurricane
8/26/17,9:00:00 AM,28.453,-97.221,98,43.80867233,963,Category 2 Hurricane
8/26/17,12:00:00 PM,28.7,-97.3,75,33.52704515,978,Category 1 Hurricane
8/26/17,3:00:00 PM,28.873,-97.422,66,29.50379973,984,Category 1 Hurricane
8/26/17,6:00:00 PM,29,-97.5,58,25.92758158,991,Tropical Storm
8/26/17,9:00:00 PM,29.115,-97.45,54,24.13947251,993,Tropical Storm
8/27/17,12:00:00 AM,29.2,-97.4,52,23.24541797,995,Tropical Storm
8/27/17,3:00:00 AM,29.28,-97.5,48,21.4573089,996,Tropical Storm
8/27/17,6:00:00 AM,29.3,-97.6,46,20.56325436,998,Tropical Storm
8/27/17,9:00:00 AM,29.215,-97.588,43,19.22217255,998,Tropical Storm
8/27/17,12:00:00 PM,29.1,-97.5,40,17.88109075,998,Tropical Storm
8/27/17,3:00:00 PM,29.05,-97.373,40,17.88109075,998,Tropical Storm
8/27/17,6:00:00 PM,29,-97.2,40,17.88109075,998,Tropical Storm
8/27/17,9:00:00 PM,28.908,-97,40,17.88109075,997,Tropical Storm
8/28/17,12:00:00 AM,28.8,-96.8,40,17.88109075,997,Tropical Storm
8/28/17,3:00:00 AM,28.692,-96.643,43,19.22217255,997,Tropical Storm
8/28/17,6:00:00 AM,28.6,-96.5,46,20.56325436,997,Tropical Storm
8/28/17,9:00:00 AM,28.542,-96.35,46,20.56325436,997,Tropical Storm
8/28/17,12:00:00 PM,28.5,-96.2,46,20.56325436,997,Tropical Storm
8/28/17,3:00:00 PM,28.457,-96.065,46,20.56325436,997,Tropical Storm
8/28/17,6:00:00 PM,28.4,-95.9,46,20.56325436,997,Tropical Storm
8/28/17,9:00:00 PM,28.3,-95.657,46,20.56325436,996,Tropical Storm
8/29/17,12:00:00 AM,28.2,-95.4,46,20.56325436,996,Tropical Storm
8/29/17,3:00:00 AM,28.127,-95.193,46,20.56325436,996,Tropical Storm
8/29/17,6:00:00 AM,28.1,-95,46,20.56325436,996,Tropical Storm
8/29/17,9:00:00 AM,28.12,-94.8,46,20.56325436,995,Tropical Storm
8/29/17,12:00:00 PM,28.2,-94.6,46,20.56325436,995,Tropical Storm
8/29/17,3:00:00 PM,28.327,-94.4,48,21.4573089,994,Tropical Storm
8/29/17,6:00:00 PM,28.5,-94.2,52,23.24541797,993,Tropical Storm
8/29/17,9:00:00 PM,28.685,-93.985,52,23.24541797,993,Tropical Storm
8/30/17,12:00:00 AM,28.9,-93.8,52,23.24541797,994,Tropical Storm
8/30/17,3:00:00 AM,29.062,-93.698,48,21.4573089,992,Tropical Storm
8/30/17,6:00:00 AM,29.4,-93.6,46,20.56325436,990,Tropical Storm
8/30/17,8:00:00 AM,29.8,-93.5,46,20.56325436,991,Tropical Storm
8/30/17,9:00:00 AM,29.924,-93.468,46,20.56325436,991,Tropical Storm
8/30/17,12:00:00 PM,30.1,-93.4,46,20.56325436,992,Tropical Storm
8/30/17,3:00:00 PM,30.331,-93.278,43,19.22217255,994,Tropical Storm
8/30/17,6:00:00 PM,30.6,-93.1,40,17.88109075,996,Tropical Storm
8/30/17,9:00:00 PM,30.943,-92.858,37,16.54000894,997,Tropical Storm
8/31/17,12:00:00 AM,31.3,-92.6,35,15.6459544,998,Tropical Depression
8/31/17,3:00:00 AM,31.607,-92.4,31,13.85784533,998,Tropical Depression
8/31/17,6:00:00 AM,31.9,-92.2,29,12.96379079,999,Tropical Depression
8/31/17,9:00:00 AM,32.177,-91.979,25,11.17568172,1000,Tropical Depression
8/31/17,12:00:00 PM,32.5,-91.7,23,10.28162718,1001,Tropical Depression
8/31/17,3:00:00 PM,32.942,-91.36,25,11.17568172,1001,Tropical Depression
8/31/17,6:00:00 PM,33.4,-90.9,29,12.96379079,1001,Tropical Depression
8/31/17,9:00:00 PM,33.758,-90.294,31,13.85784533,1000,Tropical Depression
9/1/17,12:00:00 AM,34.1,-89.6,35,15.6459544,1000,Tropical Depression
9/1/17,3:00:00 AM,34.47,-88.884,35,15.6459544,1001,Tropical Depression
9/1/17,6:00:00 AM,34.9,-88.2,35,15.6459544,1002,Extratropical
9/1/17,9:00:00 AM,35.472,-87.598,31,13.85784533,1002,Extratropical
9/1/17,12:00:00 PM,36,-87.1,29,12.96379079,1002,Extratropical
9/1/17,3:00:00 PM,36.279,-86.726,25,11.17568172,1003,Extratropical
9/1/17,6:00:00 PM,36.5,-86.4,23,10.28162718,1004,Extratropical
9/1/17,9:00:00 PM,36.835,-86,23,10.28162718,1005,Extratropical
9/2/17,12:00:00 AM,37.2,-85.6,23,10.28162718,1007,Extratropical
9/2/17,3:00:00 AM,37.58,-85.205,23,10.28162718,1008,Extratropical
9/2/17,6:00:00 AM,37.9,-84.9,23,10.28162718,1009,Extratropical
9/2/17,9:00:00 AM,38.09,-84.752,20,8.940545373,1011,Extratropical
9/2/17,12:00:00 PM,38.2,-84.7,17,7.599463567,1013,Extratropical
