network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-16T17:00:00Z,1.33,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-16T17:00:00Z,4.11,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-16T17:00:00Z,0.82,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-16T17:45:00Z,14.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-16T17:45:00Z,156.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-16T18:00:00Z,2.51,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-16T18:00:00Z,1.23,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-16T18:00:00Z,4.02,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-16T18:00:00Z,1.02,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-16T18:45:00Z,13.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-16T18:45:00Z,169.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-16T19:00:00Z,2.04,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-16T19:00:00Z,1.54,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-16T19:00:00Z,3.61,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-16T19:00:00Z,0.91,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-16T19:45:00Z,13.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-16T19:45:00Z,68.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-16T20:00:00Z,10.14,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-16T20:00:00Z,1.19,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-16T20:00:00Z,3.46,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-16T20:00:00Z,0.9,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-16T20:45:00Z,17.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-16T20:45:00Z,68.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-16T21:00:00Z,2.07,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-16T21:00:00Z,1.51,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-16T21:00:00Z,4.4,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-16T21:00:00Z,3.39,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-16T21:45:00Z,16.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-16T21:45:00Z,67.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-16T22:00:00Z,2.11,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-16T22:00:00Z,1.61,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-16T22:00:00Z,3.42,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-16T22:00:00Z,0.92,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-16T22:45:00Z,16.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-16T22:45:00Z,30.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-16T23:45:00Z,21.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-16T23:45:00Z,23.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T00:45:00Z,25.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T00:45:00Z,44.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T01:45:00Z,17.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T01:45:00Z,33.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T02:45:00Z,17.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T02:45:00Z,34.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T03:45:00Z,16.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T03:45:00Z,37.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T04:00:00Z,2.13,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T04:00:00Z,1.54,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T04:00:00Z,3.13,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T04:00:00Z,1.71,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T04:45:00Z,14.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T04:45:00Z,39.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T05:00:00Z,2.17,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T05:00:00Z,1.28,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T05:00:00Z,3.01,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T05:00:00Z,1.01,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T05:45:00Z,13.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T05:45:00Z,58.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T06:00:00Z,2.52,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T06:00:00Z,1.21,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T06:00:00Z,3.32,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T06:00:00Z,1.19,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T06:45:00Z,12.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T06:45:00Z,42.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T07:00:00Z,2.64,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T07:00:00Z,1.16,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T07:00:00Z,3.48,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T07:00:00Z,1.38,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T07:45:00Z,12.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T07:45:00Z,51.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T08:00:00Z,2.24,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T08:00:00Z,1.21,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T08:00:00Z,3.35,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T08:00:00Z,1.45,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T08:45:00Z,14.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T08:45:00Z,43.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T09:00:00Z,2.37,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T09:00:00Z,1.44,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T09:00:00Z,3.24,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T09:00:00Z,1.31,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T09:45:00Z,18.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T09:45:00Z,53.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T10:00:00Z,2.08,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T10:00:00Z,1.81,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T10:00:00Z,3.31,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T10:00:00Z,1.22,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T10:45:00Z,16.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T10:45:00Z,34.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T11:00:00Z,1.79,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T11:00:00Z,1.68,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T11:00:00Z,3.21,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T11:00:00Z,1.08,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T11:45:00Z,17.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T11:45:00Z,29.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T12:00:00Z,1.97,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T12:00:00Z,1.61,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T12:00:00Z,3.13,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T12:00:00Z,1.29,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T12:45:00Z,16.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T12:45:00Z,35.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T13:00:00Z,2.07,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T13:00:00Z,1.46,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T13:00:00Z,3.07,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T13:00:00Z,1.29,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T13:45:00Z,17.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T13:45:00Z,41.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T14:00:00Z,2.01,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T14:00:00Z,1.34,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T14:00:00Z,3.27,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T14:00:00Z,1.28,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T14:45:00Z,18.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T14:45:00Z,47.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T15:00:00Z,2.05,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T15:00:00Z,1.49,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T15:00:00Z,3.62,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T15:00:00Z,1.16,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T15:45:00Z,12.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T15:45:00Z,56.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T16:00:00Z,2.02,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T16:00:00Z,1.51,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T16:00:00Z,3.69,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T16:00:00Z,1.15,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T16:45:00Z,11.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T16:45:00Z,59.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T17:00:00Z,1.92,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T17:00:00Z,1.54,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T17:00:00Z,3.72,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T17:00:00Z,1.18,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T17:45:00Z,9.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-17T17:45:00Z,43.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T18:00:00Z,2.23,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T18:00:00Z,1.53,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T18:00:00Z,4.76,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T18:00:00Z,1.19,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T18:45:00Z,10.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T19:00:00Z,3.03,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T19:00:00Z,1.33,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T19:00:00Z,3.64,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T19:00:00Z,1.46,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T19:45:00Z,7.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T20:00:00Z,3.54,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T20:00:00Z,1.3,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T20:00:00Z,3.74,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T20:00:00Z,1.46,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T20:45:00Z,7.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T21:00:00Z,2.34,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T21:00:00Z,1.53,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-17T21:00:00Z,3.43,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T21:00:00Z,1.33,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T21:45:00Z,10.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-17T22:00:00Z,6.59,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-17T22:00:00Z,1.2,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-17T22:00:00Z,1.29,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T22:45:00Z,13.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-17T23:45:00Z,14.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T00:45:00Z,15.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T01:45:00Z,15.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T02:45:00Z,17.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T03:45:00Z,13.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T04:00:00Z,2.15,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T04:00:00Z,1.17,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T04:00:00Z,3.43,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T04:00:00Z,1.32,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T04:45:00Z,9.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T05:00:00Z,2.01,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T05:00:00Z,1.13,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T05:00:00Z,3.13,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T05:00:00Z,1.23,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T05:45:00Z,9.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T06:00:00Z,2.31,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T06:00:00Z,1.01,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T06:00:00Z,2.88,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T06:00:00Z,1.66,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T06:45:00Z,9.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T07:00:00Z,2.01,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T07:00:00Z,1.26,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T07:00:00Z,3.17,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T07:00:00Z,1.48,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T07:45:00Z,10.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T08:00:00Z,1.97,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T08:00:00Z,1.15,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T08:00:00Z,3.5,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T08:00:00Z,1.08,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T08:45:00Z,10.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T09:00:00Z,1.84,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T09:00:00Z,1.38,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T09:00:00Z,3.16,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T09:00:00Z,1.26,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T09:45:00Z,11.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T10:00:00Z,1.89,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T10:00:00Z,1.49,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T10:00:00Z,3.23,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T10:00:00Z,1.35,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T10:45:00Z,13.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T11:00:00Z,2.14,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T11:00:00Z,1.75,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T11:00:00Z,3.7,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T11:00:00Z,1.19,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T11:45:00Z,19.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T12:00:00Z,2.05,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T12:00:00Z,2.21,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T12:00:00Z,4.29,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T12:00:00Z,3.75,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T12:45:00Z,24.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T13:00:00Z,1.9,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T13:00:00Z,1.33,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T13:00:00Z,3.46,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T13:00:00Z,1.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T13:45:00Z,19.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T14:00:00Z,1.9,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T14:00:00Z,1.42,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T14:00:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T14:00:00Z,1.14,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T14:45:00Z,19.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T15:00:00Z,1.96,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T15:00:00Z,1.35,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T15:00:00Z,3.01,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T15:00:00Z,1.33,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T15:45:00Z,8.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T16:00:00Z,1.94,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T16:00:00Z,1.54,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T16:00:00Z,3.35,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T16:00:00Z,1.26,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T16:45:00Z,11.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T17:00:00Z,1.88,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T17:00:00Z,1.5,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T17:00:00Z,3.19,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T17:00:00Z,1.27,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T17:45:00Z,13.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T18:00:00Z,1.8,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T18:00:00Z,1.62,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T18:00:00Z,3.57,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T18:00:00Z,1.27,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T18:45:00Z,14.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T19:00:00Z,1.85,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T19:00:00Z,1.42,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-18T19:00:00Z,1.16,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-18T19:45:00Z,13.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-18T20:00:00Z,2.26,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-18T20:00:00Z,1.31,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-18T20:00:00Z,3.97,1111122 
